date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2022:10:52%20GMT	https://doralcenter.com.ar/Wellness	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/Wellness	(from https://doralcenter.com.ar/)
19:10:58	166383/166383	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2015:08:45%20GMT	https://doralcenter.com.ar/Wellness/	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/Wellness/index-2.html	(from https://doralcenter.com.ar/)
19:10:59	1399199/1399199	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Dec%202022%2013:21:54%20GMT	https://doralcenter.com.ar/wp-content/uploads/2022/12/PROMOS-WEB-03.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2022/12/PROMOS-WEB-03.jpg	(from https://doralcenter.com.ar/)
19:11:00	1398167/1398167	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202022%2018:43:30%20GMT	https://doralcenter.com.ar/wp-content/uploads/2022/10/muscle-up-03.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2022/10/muscle-up-03.jpg	(from https://doralcenter.com.ar/)
19:11:05	804504/804504	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202022%2018:43:17%20GMT	https://doralcenter.com.ar/wp-content/uploads/2022/10/30-02.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2022/10/30-02.jpg	(from https://doralcenter.com.ar/)
19:11:07	284/284	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2022:11:04%20GMT	http://doralcenter.com.ar/wp-content/cache/wpfc-minified/dubxfik4/4b9b9.css	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/dubxfik4/4b9b9.2d.delayed	(from https://doralcenter.com.ar/)
19:11:08	18468/18468	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2015:59:39%20GMT	https://doralcenter.com.ar/wp-content/cache/wpfc-minified/dubxfik4/4b9b9.css	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/dubxfik4/4b9b9.css	(from https://doralcenter.com.ar/)
19:11:08	3049114/3049114	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Feb%202023%2022:19:12%20GMT	https://doralcenter.com.ar/wp-content/uploads/2023/02/MasajeOzono_WEb-.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2023/02/MasajeOzono_WEb-.jpg	(from https://doralcenter.com.ar/)
19:11:08	1986217/1986217	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Feb%202023%2019:38:45%20GMT	https://doralcenter.com.ar/wp-content/uploads/2023/02/PROMOS-WEB_Gluteos-perfectos.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2023/02/PROMOS-WEB_Gluteos-perfectos.jpg	(from https://doralcenter.com.ar/)
19:11:08	18114/18114	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Jan%202023%2017:43:44%20GMT	https://doralcenter.com.ar/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.0.2	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/themes/astra/assets/js/minified/frontend.min05da.js	(from https://doralcenter.com.ar/)
